trade_date,close,high,low,open,vol,MA5,MA15,MA30,MA60,MA120,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J,SAR,WILLR,BIAS5,BIAS15,BIAS30,BIAS60,BIAS120,Pct_Change
2012/1/4,327.310000,329.000000,325.700000,329.000000,42436,327.310000,327.310000,327.310000,327.310000,327.310000,0.000000,0.000000,0.000000,,327.310000,,,,,,,325.700000,-51.212121,0.000000,0.000000,0.000000,0.000000,0.000000,
2012/1/5,331.950000,332.070000,328.680000,330.000000,41158,329.630000,329.630000,329.630000,329.630000,329.630000,0.370142,0.074028,0.592228,,329.630000,,,,,,,325.700000,-1.883830,0.703819,0.703819,0.703819,0.703819,0.703819,1.417616
2012/1/6,333.440000,333.640000,330.750000,331.120000,47759,330.900000,330.900000,330.900000,330.900000,330.900000,0.774782,0.214179,1.121206,,330.900000,,,,,,,325.954800,-2.518892,0.767604,0.767604,0.767604,0.767604,0.767604,0.448863
2012/1/9,330.340000,330.770000,328.660000,330.050000,34741,330.760000,330.760000,330.760000,330.760000,330.760000,0.835685,0.338480,0.994409,,330.760000,,,,,,,326.415912,-41.561713,-0.126980,-0.126980,-0.126980,-0.126980,-0.126980,-0.929702
2012/1/10,332.250000,332.730000,329.990000,330.220000,31920,331.058000,331.058000,331.058000,331.058000,331.058000,1.026242,0.476033,1.100419,,331.058000,,,,,,,326.849357,-17.506297,0.360058,0.360058,0.360058,0.360058,0.360058,0.578192
2012/1/11,336.260000,336.360000,333.910000,334.930000,30915,332.848000,331.925000,331.925000,331.925000,331.925000,1.483730,0.677572,1.612315,,331.925000,,,,,,,327.256796,-0.938086,1.025093,1.306018,1.306018,1.306018,1.306018,1.206922
2012/1/12,337.070000,337.660000,335.840000,336.210000,28024,333.872000,332.660000,332.660000,332.660000,332.660000,1.889867,0.920031,1.939672,,332.660000,,,,,,,327.985052,-4.933110,0.957852,1.325678,1.325678,1.325678,1.325678,0.240885
2012/1/13,336.740000,337.320000,333.660000,337.320000,56611,334.532000,333.170000,333.170000,333.170000,333.170000,2.160204,1.168066,1.984277,,333.170000,,,,,,,328.952547,-7.692308,0.660027,1.071525,1.071525,1.071525,1.071525,-0.097903
2012/1/16,335.230000,336.440000,333.670000,334.230000,34115,335.510000,333.398889,333.398889,333.398889,333.398889,2.226933,1.379839,1.694188,,333.398889,,,,79.682274,79.682274,79.682274,329.823292,-20.317726,-0.083455,0.549225,0.549225,0.549225,0.549225,-0.448417
2012/1/17,339.840000,340.150000,336.420000,336.480000,34506,337.028000,334.043000,334.043000,334.043000,334.043000,2.621585,1.628188,1.986793,,334.043000,,,,90.254111,86.025376,98.711580,330.606963,-2.145329,0.834352,1.735405,1.735405,1.735405,1.735405,1.375175
2012/1/18,338.720000,339.350000,336.150000,338.450000,36283,337.520000,334.468182,334.468182,334.468182,334.468182,2.811565,1.864864,1.893402,,334.468182,,,,88.975298,87.422708,92.080479,331.752127,-9.896194,0.355534,1.271218,1.271218,1.271218,1.271218,-0.329567
2012/1/19,340.750000,341.160000,339.090000,339.090000,24303,338.256000,334.991667,334.991667,334.991667,334.991667,3.090306,2.109952,1.960707,,334.991667,,,,92.192328,89.403935,97.769115,332.759872,-2.652005,0.737311,1.718948,1.718948,1.718948,1.718948,0.599315
2012/1/20,339.700000,339.760000,337.990000,339.220000,28676,338.848000,335.353846,335.353846,335.353846,335.353846,3.189715,2.325905,1.727621,,335.353846,,,,90.171914,89.698751,91.118240,333.935890,-9.443726,0.251440,1.295990,1.295990,1.295990,1.295990,-0.308144
2012/1/30,353.350000,354.890000,352.770000,354.090000,30334,342.472000,336.639286,336.639286,336.639286,336.639286,4.320138,2.724751,3.190774,4.295000,336.639286,,,82.339791,91.112562,90.215377,92.906931,334.947265,-5.275779,3.176318,4.963982,4.963982,4.963982,4.963982,4.018251
2012/1/31,355.100000,355.770000,354.130000,354.330000,28320,345.524000,337.870000,337.870000,337.870000,337.870000,5.296167,3.239034,4.114264,4.232143,337.870000,,,83.075458,93.186312,91.267252,97.024431,338.138103,-2.471413,2.771443,5.099595,5.099595,5.099595,5.099595,0.495260
2012/2/1,354.140000,355.900000,354.060000,354.990000,28190,348.608000,339.658667,338.886875,338.886875,338.886875,5.923925,3.776012,4.295825,4.023571,338.886875,,,78.945995,92.804764,91.800565,94.813162,341.311844,-6.461087,1.586883,4.263496,4.500949,4.500949,4.500949,-0.270346
2012/2/2,356.900000,357.900000,356.130000,357.130000,30894,351.838000,341.322000,339.946471,339.946471,339.946471,6.568420,4.334494,4.467852,4.085714,339.946471,,,79.621212,93.854785,92.503592,96.557169,344.229476,-3.419973,1.438730,4.564019,4.987117,4.987117,4.987117,0.779353
2012/2/3,358.620000,358.910000,358.130000,358.520000,22304,355.622000,343.000667,340.983889,340.983889,340.983889,7.135720,4.894739,4.481962,3.887857,340.983889,,,86.996337,95.507122,93.522437,99.476491,346.963580,-1.002766,0.843030,4.553733,5.172124,5.172124,5.172124,0.481928
2012/2/6,353.380000,354.690000,353.130000,353.170000,29754,355.628000,344.536667,341.636316,341.636316,341.636316,7.080862,5.331964,3.497797,4.084286,341.636316,,,75.427196,88.828533,91.939502,82.606594,349.352864,-21.900990,-0.632121,2.566732,3.437481,3.437481,3.437481,-1.461157
2012/2/7,352.690000,352.690000,351.160000,351.340000,28638,355.146000,345.899333,342.189000,342.189000,342.189000,6.902146,5.646000,2.512291,3.949286,342.189000,362.519078,321.858922,71.488360,82.593529,88.799980,70.180625,351.160000,-24.633663,-0.691547,1.963192,3.068772,3.068772,3.068772,-0.195257
2012/2/8,357.790000,357.930000,356.270000,356.270000,31227,355.876000,347.334667,342.931905,342.931905,342.931905,7.090306,5.934861,2.310890,4.193571,343.713000,363.916113,323.509887,74.365005,86.631859,88.073541,83.748497,351.160000,-4.435644,0.537828,3.010161,4.332666,4.332666,4.332666,1.446029
2012/2/9,355.190000,355.210000,352.480000,353.570000,31489,355.534000,348.542667,343.489091,343.489091,343.489091,6.949517,6.137792,1.623449,4.311429,344.875000,364.902013,324.847987,70.596115,75.048227,83.716845,57.710989,352.480000,-14.738510,-0.096756,1.907179,3.406486,3.406486,3.406486,-0.726683
2012/2/10,353.250000,354.190000,352.950000,353.210000,25173,354.460000,349.643333,343.913478,343.913478,343.913478,6.605257,6.231285,0.747944,4.252143,345.865500,365.466228,326.264772,69.924812,58.984715,75.453932,26.046280,352.480000,-24.868190,-0.341364,1.031527,2.714788,2.714788,2.714788,-0.546187
2012/2/13,352.680000,353.300000,351.540000,351.940000,23928,354.320000,350.806667,344.278750,344.278750,344.278750,6.214795,6.227987,-0.026385,4.026429,346.982500,365.366349,328.598651,65.590092,45.840767,65.567826,6.386648,351.540000,-27.372583,-0.462858,0.534007,2.440246,2.440246,2.440246,-0.161359
2012/2/14,350.450000,351.930000,350.040000,351.590000,23040,353.872000,351.514000,344.525600,344.525600,344.525600,5.660161,6.114422,-0.908522,3.951429,347.892500,364.960494,330.824506,63.868527,32.087326,54.396321,-12.530663,350.040000,-40.439771,-0.967016,-0.302691,1.719582,1.719582,1.719582,-0.632301
2012/2/15,352.260000,352.780000,351.310000,351.310000,24791,352.766000,352.416667,344.823077,344.823077,344.823077,5.305503,5.952638,-1.294270,3.943571,348.692500,364.945195,332.439805,63.679582,29.732686,46.169543,-3.141028,350.040000,-31.787763,-0.143438,-0.044455,2.156736,2.156736,2.156736,0.516479
2012/2/16,350.860000,352.430000,350.060000,352.430000,35739,351.900000,353.090667,345.046667,345.046667,345.046667,4.855495,5.733210,-1.755430,3.915714,349.382000,364.701890,334.062110,63.154173,23.283182,38.537313,-7.225080,350.060000,-90.755355,-0.295539,-0.631755,1.684796,1.684796,1.684796,-0.397434
2012/2/17,353.420000,354.110000,353.040000,353.040000,29358,351.934000,354.005333,345.345714,345.345714,345.345714,4.651807,5.516929,-1.730243,3.062857,350.216000,364.413068,336.018932,50.111714,29.803761,35.625253,18.160777,350.060000,-61.894025,0.422238,-0.165346,2.338030,2.338030,2.338030,0.729636
2012/2/20,353.830000,354.690000,353.820000,354.190000,20580,352.164000,354.037333,345.638276,345.638276,345.638276,4.471918,5.307927,-1.672018,2.980714,351.146000,363.530857,338.761143,47.882628,35.882222,35.710927,36.224813,351.830000,-57.271702,0.473075,-0.058563,2.370028,2.370028,2.370028,0.116009
2012/2/21,355.680000,355.860000,353.440000,354.010000,26223,353.210000,354.076000,345.973000,345.973000,345.973000,4.427595,5.131860,-1.408531,3.022143,351.938000,363.258810,340.617190,52.493523,56.226606,42.550401,83.579017,353.246000,-36.414882,0.699301,0.453010,2.805710,2.805710,2.805710,0.522850
2012/2/22,358.310000,358.530000,357.890000,358.340000,17910,354.420000,354.354000,347.006333,346.370968,346.370968,4.552213,5.015931,-0.927436,2.957143,352.917500,362.709677,343.125323,52.292683,69.955199,51.686148,106.493303,353.440000,-6.764374,1.097568,1.116398,3.257481,3.446892,3.446892,0.739429
2012/2/23,362.540000,362.560000,361.420000,361.820000,25240,356.756000,354.730000,348.026000,346.876250,346.876250,4.935407,4.999826,-0.128839,3.117143,354.007000,362.907221,345.106779,55.892965,79.917477,61.097150,117.558130,354.534000,-0.159744,1.621276,2.201675,4.170378,4.515659,4.515659,1.180542
2012/2/24,362.280000,363.150000,361.960000,362.490000,23105,358.528000,354.974000,348.987333,347.343030,347.343030,5.158645,5.031590,0.254110,2.810000,355.136000,361.856365,348.415635,65.735502,84.399777,68.865000,115.469331,356.139200,-6.636156,1.046501,2.058179,3.808925,4.300351,4.300351,-0.071716
2012/2/27,360.960000,362.840000,360.880000,361.590000,20707,359.954000,355.479333,350.008000,347.743529,347.743529,5.169460,5.059164,0.220592,2.791429,355.516500,362.659539,348.373461,64.303009,84.023065,73.917821,104.233552,357.541360,-16.704805,0.279480,1.541768,3.129071,3.800637,3.800637,-0.364359
2012/2/28,361.910000,362.000000,360.320000,360.470000,20978,361.200000,356.094000,350.996667,348.148286,348.148286,5.194805,5.086292,0.217026,2.537143,355.857000,363.544910,348.169090,58.319871,86.191121,78.008993,102.555377,358.663088,-9.458429,0.196567,1.633277,3.109241,3.952831,3.952831,0.263187
2012/2/29,364.780000,364.940000,363.900000,364.220000,19413,362.494000,356.560000,351.947333,348.610278,348.610278,5.384408,5.145915,0.476986,2.374286,356.389000,364.994447,347.783553,69.157012,90.345950,82.121361,106.795130,359.560470,-1.073826,0.630631,2.305362,3.646189,4.638338,4.638338,0.793015
2012/3/1,349.900000,351.690000,348.860000,348.860000,52847,359.966000,356.207333,352.375000,348.645135,348.645135,4.284589,4.973650,-1.378123,3.351429,356.039000,365.113559,346.964441,45.588623,62.386302,75.542956,36.072994,348.860000,-93.532338,-2.796375,-1.770692,-0.702377,0.359926,0.359926,-4.079171
2012/3/2,350.530000,351.790000,350.440000,350.870000,24181,357.616000,356.026000,352.834667,348.694737,348.694737,3.424336,4.663787,-2.478903,3.360714,355.634500,364.942858,346.326142,47.173284,45.052635,65.379463,4.398979,348.860000,-89.614428,-1.981455,-1.543707,-0.653186,0.526324,0.526324,0.180051
2012/3/5,348.880000,350.420000,348.670000,349.730000,26183,355.200000,355.772667,353.289667,348.699487,348.699487,2.579701,4.246970,-3.334538,3.305000,355.409500,365.154613,345.664387,47.903872,30.465279,53.741361,-16.086885,348.670000,-98.709281,-1.779279,-1.937379,-1.248173,0.051767,0.051767,-0.470716
2012/3/6,346.830000,348.920000,346.780000,348.500000,25192,352.184000,355.531333,353.522667,348.652750,348.652750,1.725018,3.742580,-4.035122,3.291429,355.116500,365.535000,344.698000,42.796498,20.401940,42.628195,-24.050571,346.780000,-99.724670,-1.520228,-2.447417,-1.893137,-0.522798,-0.522798,-0.587595
2012/3/7,341.340000,342.630000,341.260000,341.990000,27653,347.496000,354.803333,353.610000,348.474390,348.474390,0.597789,3.113621,-5.031665,3.520000,354.294000,366.300171,342.287829,38.606989,13.713895,32.990080,-24.838474,341.260000,-99.662162,-1.771531,-3.794590,-3.469924,-2.047321,-2.047321,-1.582908
2012/3/8,344.670000,344.740000,343.380000,343.670000,17687,346.450000,354.390667,353.740667,348.383810,348.383810,-0.026540,2.485589,-5.024258,3.530714,353.768000,366.508228,341.027772,39.717979,13.942710,26.640950,-11.453771,341.260000,-85.599662,-0.513783,-2.742924,-2.564214,-1.066011,-1.066011,0.975567
2012/3/9,347.780000,348.310000,346.350000,346.740000,23504,345.900000,354.014667,354.010000,348.369767,348.369767,-0.267293,1.935013,-4.404611,3.700000,353.494500,366.513357,340.475643,43.314917,18.473071,23.918322,7.582569,343.380000,-72.466216,0.543510,-1.761132,-1.759837,-0.169294,-0.169294,0.902312
2012/3/12,347.980000,349.670000,347.320000,349.230000,27753,345.720000,353.624667,353.831000,348.360909,348.360909,-0.436916,1.460627,-3.795086,3.695000,353.259500,366.507914,340.011086,41.169725,21.774842,23.203828,18.916868,346.350000,-71.621622,0.653708,-1.596231,-1.653614,-0.109343,-0.109343,0.057508
2012/3/13,347.620000,348.170000,347.390000,347.450000,18188,345.878000,353.087333,353.581667,348.344444,348.344444,-0.593551,1.049791,-3.286685,3.547143,353.118000,366.551912,339.684088,37.067505,34.649518,27.019059,49.910437,347.320000,-73.141892,0.503646,-1.548437,-1.686079,-0.207968,-0.207968,-0.103454
