epoch,G1_train_sharpe_ratio,G1_train_calmar_ratio,G1_train_max_drawdown,G1_train_annualized_return,G1_train_win_rate,G1_val_sharpe_ratio,G1_val_calmar_ratio,G1_val_max_drawdown,G1_val_annualized_return,G1_val_win_rate,G2_train_sharpe_ratio,G2_train_calmar_ratio,G2_train_max_drawdown,G2_train_annualized_return,G2_train_win_rate,G2_val_sharpe_ratio,G2_val_calmar_ratio,G2_val_max_drawdown,G2_val_annualized_return,G2_val_win_rate,G3_train_sharpe_ratio,G3_train_calmar_ratio,G3_train_max_drawdown,G3_train_annualized_return,G3_train_win_rate,G3_val_sharpe_ratio,G3_val_calmar_ratio,G3_val_max_drawdown,G3_val_annualized_return,G3_val_win_rate
1,2.0509,inf,0,99.41,58.03,1.0507,1.85,17.43,32.16,54.19,-1.1907,-0.64,40.22,-25.71,33.33,-1.1297,-1.1,16.11,-17.67,40.91,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
2,1.9964,4.61,20.73,95.51,57.75,0.9485,1.67,16.73,28.03,56.13,-2.0157,-0.66,7.6,-5.04,0,-1.4512,-1.42,13.76,-19.59,33.33,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
3,1.7914,3.78,21.56,81.45,57.75,-0.1012,-0.37,21.14,-7.75,54.19,-1.5386,-0.66,5,-3.3,0,-2.1625,-1.58,7.3,-11.52,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
4,1.6603,3.09,23.62,72.96,55.77,-0.0503,-0.31,20.36,-6.27,54.19,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
5,1.6927,3.73,20.1,75.02,56.34,0.4995,0.57,19.9,11.31,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
6,1.7231,4.07,18.89,76.98,56.9,0.7167,0.83,23.07,19.11,54.84,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
7,1.6511,3.34,21.65,72.38,56.62,0.8852,1.21,21.02,25.52,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
8,1.6511,3.34,21.65,72.38,56.62,0.8852,1.21,21.02,25.52,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
9,1.6511,3.34,21.65,72.38,56.62,0.9465,1.39,20.08,27.94,56.13,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
10,1.6734,3.91,18.89,73.79,56.62,0.9465,1.39,20.08,27.94,56.13,-1.4299,-0.66,4.6,-3.04,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
11,1.6734,3.91,18.89,73.79,56.62,0.9465,1.39,20.08,27.94,56.13,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
12,1.6592,3.86,18.89,72.89,56.34,0.4879,0.54,20.08,10.9,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
13,1.5874,3.16,21.62,68.4,56.06,0.4879,0.54,20.08,10.9,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
14,1.5874,3.16,21.62,68.4,56.06,0.4879,0.54,20.08,10.9,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
15,1.6927,3.73,20.1,75.02,56.34,0.4879,0.54,20.08,10.9,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
16,1.6927,3.73,20.1,75.02,56.34,0.4995,0.57,19.9,11.31,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
17,1.6927,3.73,20.1,75.02,56.34,0.4995,0.57,19.9,11.31,55.48,-1.5386,-0.66,5,-3.3,0,0,inf,0,0,0,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39
