epoch,G1_train_sharpe_ratio,G1_train_calmar_ratio,G1_train_max_drawdown,G1_train_annualized_return,G1_train_win_rate,G1_val_sharpe_ratio,G1_val_calmar_ratio,G1_val_max_drawdown,G1_val_annualized_return,G1_val_win_rate,G2_train_sharpe_ratio,G2_train_calmar_ratio,G2_train_max_drawdown,G2_train_annualized_return,G2_train_win_rate,G2_val_sharpe_ratio,G2_val_calmar_ratio,G2_val_max_drawdown,G2_val_annualized_return,G2_val_win_rate,G3_train_sharpe_ratio,G3_train_calmar_ratio,G3_train_max_drawdown,G3_train_annualized_return,G3_train_win_rate,G3_val_sharpe_ratio,G3_val_calmar_ratio,G3_val_max_drawdown,G3_val_annualized_return,G3_val_win_rate
1,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
2,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
3,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
4,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
5,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
6,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
7,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
8,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
9,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
10,-0.116,-0.31,33.28,-10.33,42.54,0.4029,0.56,14.29,8.07,48.39,0.116,-0.07,40.86,-2.99,57.46,-0.4029,-0.5,32.18,-16.08,51.61,0,inf,0.0,0.0,0,0.3437,0.52,4.09,2.13,71.43
